,Date,PnL,Capital
590,2019-06-28,-447617.4500000012,300000000
591,2019-06-30,0.0,300000000
592,2019-07-01,1465626.9399999995,300000000
593,2019-07-02,-450554.4700000025,300000000
594,2019-07-03,-1456640.8200000003,300000000
595,2019-07-04,-2659.5,300000000
596,2019-07-05,692929.5899999981,300000000
597,2019-07-08,-337370.5099999991,300000000
598,2019-07-09,-699691.6399999984,300000000
599,2019-07-10,-438220.44000000076,300000000
600,2019-07-11,-2075416.9699999997,300000000
601,2019-07-12,-84135.05999999927,300000000
602,2019-07-15,-1093340.609999998,300000000
603,2019-07-16,-1114537.9900000012,300000000
604,2019-07-17,114076.03999999928,300000000
605,2019-07-18,-1226496.7700000019,300000000
606,2019-07-19,-522210.76000000053,300000000
607,2019-07-22,-2768994.2499999986,300000000
608,2019-07-23,2840336.109999997,300000000
609,2019-07-24,645551.3300000024,300000000
610,2019-07-25,-3751177.609999998,300000000
611,2019-07-26,-956132.1199999987,300000000
612,2019-07-29,-1852472.04,300000000
613,2019-07-30,2265524.819999999,300000000
614,2019-07-31,-2873791.4399999985,300000000
615,2019-08-01,94851.46999999968,300000000
616,2019-08-02,-1188165.449999999,300000000
617,2019-08-05,-4133906.0999999996,300000000
618,2019-08-06,2112616.090000003,300000000
619,2019-08-07,-369050.1699999997,300000000
620,2019-08-08,1802991.0599999998,300000000
621,2019-08-09,-3557984.4300000006,300000000
622,2019-08-12,-3239684.9299999997,300000000
623,2019-08-13,6253052.840000002,300000000
624,2019-08-14,1260019.0800000008,300000000
625,2019-08-15,-1155581.7499999972,300000000
626,2019-08-16,609840.0799999961,300000000
627,2019-08-19,-267017.4499999969,300000000
628,2019-08-20,-1647407.9199999985,300000000
629,2019-08-21,370027.8199999991,300000000
630,2019-08-22,1516925.72,300000000
631,2019-08-23,-4158051.509999997,300000000
632,2019-08-26,-99426.13000000178,300000000
633,2019-08-27,-2190091.18,300000000
634,2019-08-28,2332699.299999999,300000000
635,2019-08-29,1770458.0699999984,300000000
636,2019-08-30,488532.42999999766,300000000
637,2019-09-02,-28002.489999999998,300000000
638,2019-09-03,340803.579999998,300000000
639,2019-09-04,1092493.53,300000000
640,2019-09-05,3450069.239999997,300000000
641,2019-09-06,1850266.3599999978,300000000
642,2019-09-09,3623985.799999988,300000000
643,2019-09-10,7229618.87999998,300000000
644,2019-09-11,-183739.3700000023,300000000
645,2019-09-12,-2678272.319999999,300000000
646,2019-09-13,909546.2299999999,300000000
647,2019-09-16,2792632.6800000025,300000000
648,2019-09-17,-2592457.0900000003,300000000
649,2019-09-18,-2305571.1499999976,300000000
650,2019-09-19,2534060.8,300000000
651,2019-09-20,-712940.8400000022,300000000
652,2019-09-23,2058774.55,300000000
653,2019-09-24,-1432486.569999998,300000000
